year,country_iso,country_fatalities
2021,466,1913
2021,706,3437
2021,120,1653
2021,516,2
2021,004,28409
2021,728,2162
2021,332,789
2021,729,1651
2021,231,9152
2021,694,2
2021,222,425
2021,624,0
2021,140,1714
2021,430,7
2021,404,501
2021,760,2634
2021,180,6212
2021,586,920
2021,104,6049
2021,887,10411
2021,144,5
2021,170,1836
2021,434,115
2021,275,328
2021,854,2374
2021,148,831
2021,800,507
2021,748,46
2021,426,9
2021,050,359
2021,562,1498
2021,450,303
2021,068,8
2022,104,5316
2022,616,2
2022,804,4081
2022,422,53
2022,120,1735
2022,728,2446
2022,180,6303
2022,340,694
2022,760,2107
2022,466,4863
2022,706,6521
2022,004,4035
2022,566,10757
2022,854,4244
2022,332,1495
2022,050,309
2022,887,2521
2022,404,701
2022,364,737
2022,140,873
2022,729,2065
2022,508,922
2022,818,273
2022,562,990
2022,384,45
2022,231,6921
2022,214,22
2022,368,1262
2022,788,1
2022,586,1010
2022,800,363
2022,275,177
2022,170,2300
2022,598,227
2022,862,827
2022,834,39
2023,729,12289
2023,728,1287
2023,140,583
2023,466,4320
2023,562,1149
2023,804,2471
2023,566,8764
2023,508,304
2023,854,8499
2023,231,4013
2023,706,8366
2023,104,6058
2023,275,14901
2023,624,5
2023,180,4035
2023,332,2286
2023,320,850
2023,694,32
2023,887,2539
2023,426,12
2023,760,2095
2023,834,20
2023,050,338
2023,422,247
2023,170,1699
2023,586,1397
2023,376,1503
2023,144,7
2023,356,239
2023,404,1015
2024,728,355
2024,466,1158
2024,729,2833
2024,887,699
2024,508,176
2024,275,9010
2024,231,2515
2024,120,424
2024,760,2061
2024,706,1659
2024,566,2719
2024,804,2689
2024,180,1079
2024,148,121
2024,368,285
2024,586,672
2024,140,191
